Date,Team,Acquired,Relinquished,Notes
2023-12-18,Bills,,• Jordan Phillips (a),surgery on wrist (out indefinitely)
2023-12-18,Chargers,,• Will Clapp,placed on IR with knee injury
2023-12-18,Chiefs,,• Skyy Moore,placed on IR with knee injury
2023-12-18,Patriots,,• Cole Strange,placed on IR with knee injury
2023-12-18,Ravens,,• Keaton Mitchell,torn ACL in knee (out for season)
2023-12-18,Steelers,,• Damontae Kazee,suspended by NFL for remainder of the regular season for repeated violations of playing rules intended to protect the health and safety of players
2023-12-18,Broncos,• Kareem Jackson,,activated from reserve/suspended list
2023-12-19,Colts,,• Isaiah McKenzie,suspended by team for 3 games for conduct detrimental to the team
2023-12-19,Colts,,• Tony Brown (Mendell),suspended by team for 3 games for conduct detrimental to the team
2023-12-19,Dolphins,• Christopher Brooks / Chris Brooks (b),,activated from IR
2023-12-19,Jets,,• Quinton Jefferson,placed on IR with hip injury
2023-12-19,Lions,• Hendon Hooker,,activated from reserve/non-football injury list
2023-12-19,Patriots,,• J.C. Jackson,placed on reserve/non-football illness list
2023-12-19,Ravens,,• Keaton Mitchell,placed on IR with torn ACL in knee (out for season)
2023-12-20,49ers,,• Kalia Davis,placed on IR with high ankle sprain
2023-12-20,Cardinals,,• Geoff Swaim,placed on IR with calf injury
2023-12-20,Cardinals,,• Josh Woods,placed on IR with undisclosed injury
2023-12-20,Titans,,• Nick Westbrook-Ikhine / Nick Westbrook,placed on IR with undisclosed
2023-12-20,Jets,• Aaron Rodgers,,activated from IR
2023-12-20,Jets,,• Aaron Rodgers,recovering from surgery to repair torn left Achilles (out for season)
2023-12-21,Bills,,• Jordan Phillips (a),placed on IR recovering from surgery on wrist
2023-12-21,Giants,,• Randy Bullock,placed on IR with hamstring injury
2023-12-21,Rams,• Ronnie Rivers,,activated from IR
2023-12-21,Saints,,• Isaiah Foskey,quadriceps injury (out)
2023-12-22,Bills,,• Taylor Rapp,"fined $21,855 by NFL for helmet to helmet hit"
2023-12-22,Bills,,• Tyrel Dodson,"fined $11,167 by NFL for roughing the passer"
2023-12-22,Browns,,• Za'Darius Smith,"fined $16,391 by NFL for roughing the passer"
2023-12-22,Colts,,• Julius Brents / JuJu Brents,"fined $8,280 by NFL for unsportsmanlike conduct"
2023-12-22,Commanders,,• Da'Ron Payne / Daron Payne,"fined $10,927 by NFL for unsportsmanlike conduct"
2023-12-22,Cowboys,,• Damone Clark,"fined $5,170 by NFL for late hit"
2023-12-22,Dolphins,,• Bradley Chubb,"fined $16,391 by NFL for roughing the passer"
2023-12-22,Jets,,• Laken Tomlinson,"fined $21,855 by NFL for unnecessary roughness"
2023-12-22,Patriots,,• Demario Douglas,"fined $4,352 by NFL for facemask"
2023-12-22,Raiders,,• Amik Robertson,"fined $6,298 by NFL for unsportsmanlike conduct"
2023-12-22,Rams,,• Derion Kendrick,"fined $16,391 by NFL for unnecessary roughness"
2023-12-22,Ravens,,• Ronnie Stanley,"fined $21,855 by NFL for impermissible use of the head"
2023-12-22,Steelers,,• Mykal Walker,"fined $5,611 by NFL for horse collar tackle"
2023-12-22,Steelers,• Elijah Riley,,activated from IR
2023-12-22,Titans,,• Amani Hooker,placed on IR with knee injury
2023-12-23,Falcons,,• (Alton) Keith Smith,placed on IR with ankle injury
2023-12-23,Lions,,• Brian Branch,"fined $8,103 by NFL for helmet to helmet hit"
2023-12-23,Patriots,,• Conor McDermott,placed on IR with concussion
2023-12-23,Titans,,• Jack Gibbens,placed on IR with back injury
2023-12-23,Titans,,• Jeffery Simmons,placed on IR with knee injury
2023-12-23,Titans,,• Luke Gifford,placed on IR with hamstring injury
2023-12-23,Vikings,• Jordan Hicks (b. 1992-06-27),,activated from IR
2023-12-24,Chiefs,,• Jerick McKinnon,placed on IR with groin injury
2023-12-24,Giants,,• Evan Neal,placed on IR with ankle injury
2023-12-26,Browns,,• Dorian Thompson-Robinson,placed on IR with hip injury
2023-12-26,Colts,,• Julian Blackmon,placed on IR with shoulder injury
2023-12-26,Jaguars,,• Daniel Thomas,placed on IR with fractured left forearm
2023-12-26,Texans,,• Jimmie Ward,placed on IR with quadriceps injury
2023-12-27,Cowboys,• Matt Waletzko,,activated from IR
2023-12-27,Jets,,• Duane Brown,placed on IR with back injury
2023-12-27,Packers,,• Jaire Alexander,suspended by team for 1 game for conduct detrimental to the team
2023-12-27,Panthers,,• Amare Barno,placed on IR with knee injury
2023-12-27,Patriots,,• Rhamondre Stevenson,placed on IR with ankle injury
2023-12-27,Raiders,,• Jesper Horsted,placed on IR with hamstring injury
2023-12-27,Vikings,,• D.J. Wonnum,placed on IR with quadriceps injury
2023-12-27,Vikings,,• T.J. Hockenson,"placed on IR with torn ACL, MCL in knee"
2023-12-28,Bills,• Kameron Cline,,activated from IR
2023-12-28,Commanders,,• Chris Rodriguez Jr.,placed on IR with ankle injury
2023-12-28,Commanders,,• Christopher Rodriguez Jr.,placed on IR
2023-12-28,Commanders,• De'Jon Harris,,activated from IR
2023-12-28,Eagles,,• Devon Allen,placed on practice squad IR with undisclosed injury
2023-12-28,Lions,• Jason Cabinda,,activated from IR
2023-12-29,49ers,,• Mitch Wishnowsky,"fined $9,167 by NFL for late hit"
2023-12-29,Bengals,• Cam Taylor-Britt,,activated from IR
2023-12-29,Bills,,• Spencer Brown (b. 1998-02-28),"fined $7,159 by NFL for tripping"
2023-12-29,Bills,,• Taron Johnson,"fined $21,855 by NFL for helmet to helmet hit"
2023-12-29,Broncos,,• Quinn Meinerz,"fined $7,251 by NFL for unsportsmanlike conduct"
2023-12-29,Buccaneers,,• Christian Izien,"fined $4,185 by NFL for taunting"
2023-12-29,Cardinals,,• Jonathan Ledbetter,placed on IR with knee injury
2023-12-29,Cardinals,,• Marquise Brown,placed on IR with heel injury
2023-12-29,Chargers,,• Gerald Everett,"fined $10,927 by NFL for unsportsmanlike conduct"
2023-12-29,Colts,,• Andrew Ogletree,"arrested and charged with domestic battery resulting in moderate bodily injury and domestic battery committed in physical presence of a child less than 16, knowing child present and might be able to see/hear"
2023-12-29,Dolphins,,• Cedrick Wilson Jr. / Ced Wilson,"fined $16,391 by NFL for blind-side block"
2023-12-29,Eagles,,• Jalen Hurts,"fined $16,391 by NFL for horse collar tackle"
2023-12-29,Eagles,,• Sydney Brown,"fined $5,807 by NFL for late hit"
2023-12-29,Falcons,,• Tucker Fisk,"fined $4,167 by NFL for chop block"
2023-12-29,Giants,,• Dane Belton,"fined $5,923 by NFL for unsportsmanlike conduct"
2023-12-29,Giants,,• Saquon Barkley,"fined $21,855 by NFL for impermissible use of the helmet"
2023-12-29,Jets,,• Jason Brownlee,"fined $4,222 by NFL for unsportsmanlike conduct"
2023-12-29,Packers,,• Anthony Johnson Jr.,"fined $4,283 by NFL for unnecessary roughness"
2023-12-29,Packers,,• Quay Walker,"fined $10,927 by NFL for unsportsmanlike conduct"
2023-12-29,Seahawks,,• Quandre Diggs,"fined $16,391 by NFL for hit to a defenseless player"
2023-12-29,Steelers,,• George Pickens,"fined $16,391 by NFL for taunting"
2023-12-29,Texans,,• Khalil Davis,"fined $5,222 by NFL for unnecessary roughness"
2023-12-29,Titans,,• Garret Wallow,"fined $5,222 by NFL for unsportsmanlike conduct"
2023-12-29,Vikings,,• Harrison Phillips,"fined $10,927 by NFL for late hit"
2023-12-29,Vikings,,• Justin Jefferson,"fined $13,659 by NFL for excessive celebration"
2023-12-29,Vikings,,• NaJee Thompson,"fined $4,167 by NFL for uniform violation"
2023-12-30,Bills,• DaQuan Jones,,activated from IR
2023-12-30,Broncos,,• Dwayne Washington,placed on reserve/non-football injury list with illness
2023-12-30,Cardinals,• Bobby Price,,activated from IR
2023-12-30,Chiefs,• Mecole Hardman,,activated from IR
2023-12-30,Commanders,,• Percy Butler,placed on IR with wrist injury
2023-12-30,Commanders,,• Tyler Larsen,placed on IR with knee injury
2023-12-30,Eagles,,• Albert Okwuegbunam,placed on IR with hamstring injury
2023-12-30,Eagles,• Avonte Maddox,,activated from IR
2023-12-30,Giants,,• Lawrence Cager,placed on IR with groin injury
2023-12-30,Giants,,• Saquon Barkley,"fined $21,855 by NFL for unnecessary roughness"
2023-12-30,Jaguars,• Cam Robinson,,activated from IR
2023-12-30,Packers,,• Eric Stokes (Jamane),placed on IR with hamstring injury
2023-12-30,Patriots,,• JuJu Smith-Schuster,placed on IR with ankle injury
2023-12-30,Ravens,,• Jalyn Armour-Davis,placed on IR with concussion
2023-12-30,Saints,,• Ryan Ramczyk,placed on IR with knee injury
2023-12-30,Seahawks,,• D'Wayne Eskridge / Dee Eskridge,placed on IR with rib injury
2023-12-30,Seahawks,,• Jamal Adams,placed on IR with knee injury
2023-12-30,Steelers,,• George Pickens,"fined $16,391 by NFL for unsportsmanlike conduct"
2023-12-30,Titans,,• Josh Whyle,placed on IR with knee injury
2023-12-30,Vikings,,• Justin Jefferson,"fined $13,659 by NFL for unsportsmanlike conduct"
2023-12-30,Vikings,,• Troy Dye,placed on IR with wrist injury
2023-12-30,Washington,,• Charles Leno Jr.,placed on IR with calf injury
2023-12-31,Saints,,• Nephi Sewell,torn ACL in knee (out indefinitely)
2024-01-01,Broncos,,• Delarrin Turner-Yell,torn ACL in knee (out indefinitely)
2024-01-01,Dolphins,,• Bradley Chubb,torn ACL in knee (out indefinitely)
2024-01-01,Giants,,• Tyre Phillips,right quadriceps tendon injury (out for season)
2024-01-01,Jaguars,,• Jamal Agnew,fractured lower leg (out indefinitely)
2024-01-01,Packers,,• Samori Toure,placed on IR with knee injury
2024-01-01,Packers,• Jaire Alexander,,reinstated from suspension
2024-01-01,Saints,,• Nephi Sewell,surgery on knee to repair torn ACL (out indefinitely)
2024-01-02,Giants,,• Tyre Phillips,placed on IR with torn right quadriceps
2024-01-02,Jaguars,,• Henry Mondeaux,placed on practice squad IR with undisclosed injury
2024-01-02,Panthers,,• Jonathan Mingo,placed on IR with foot injury
2024-01-02,Raiders,,• Cole Fotheringham,placed on practice squad IR with undisclosed injury
2024-01-02,Rams,,• Shaun Jolly,placed on IR with undisclosed injury
2024-01-03,Cardinals,,• D.J. Humphries,torn ACL in knee (out indefinitely)
2024-01-03,Cowboys,,• Deuce Vaughn,placed on IR with ankle injury
2024-01-03,Cowboys,• Viliami Fehoko Jr.,,activated from IR
2024-01-04,Broncos,,• Delarrin Turner-Yell,placed on IR with torn ACL in knee
2024-01-05,Bills,,• Jordan Poyer,"fined $10,927 by NFL for late hit"
2024-01-05,Browns,,• Anthony Walker Jr.,placed on IR with knee injury
2024-01-05,Browns,,• Juan Thornhill,"fined $12,578 by NFL for helmet to helmet hit"
2024-01-05,Buccaneers,,• Anthony Nelson,"fined $16,391 by NFL for late hit"
2024-01-05,Buccaneers,,• Calijah Kancey,"fined $10,927 by NFL for unsportsmanlike conduct"
2024-01-05,Buccaneers,• Rakim Jarrett,,activated from IR
2024-01-05,Cardinals,,• D.J. Humphries,placed on IR with torn ACL in knee
2024-01-05,Cardinals,,• Dante Stills,placed on IR with knee injury
2024-01-05,Colts,,• E.J. Speed,"fined $10,927 by NFL for late hit"
2024-01-05,Colts,,• Mo Alie-Cox,"fined $21,855 by NFL for blindside block"
2024-01-05,Commanders,,• Christian Holmes,placed on IR with concussion
2024-01-05,Commanders,,• Kendall Fuller,placed on IR with knee injury
2024-01-05,Commanders,,• Tariq Castro-Fields,placed on IR with shoulder injury
2024-01-05,Falcons,,• DeMarcco Hellams,"fined $4,314 by NFL for hit to a defenseless receiver"
2024-01-05,Jaguars,,• Cam Robinson,"fined $10,927 by NFL for his role in a fight"
2024-01-05,Jets,,• Quinnen Williams,"fined $10,927 by NFL for facemask"
2024-01-05,Jets,,• Quinnen Williams,"fined $16,391 by NFL for roughing the passer"
2024-01-05,Panthers,,• Derrick Brown,"fined $10,927 by NFL for his role in a fight"
2024-01-05,Patriots,,• Jalen Mills,"fined $16,136 by NFL for impermissible use of the helmet"
2024-01-05,Raiders,,• Ameer Abdullah,"fined $9,500 by NFL for hit to a defenseless receiver"
2024-01-05,Ravens,,• Daryl Worley,placed on IR with shoulder injury
2024-01-05,Saints,,• Nephi Sewell,placed on IR with surgery on knee to repair torn ACL (out for season)
2024-01-05,Texans,,• Desmond King II,"fined $10,927 by NFL for hit to a defenseless receiver"
2024-01-06,49ers,,• Ross Dwelley,placed on IR with ankle injury
2024-01-06,49ers,• Ray-Ray McCloud,,activated from IR
2024-01-06,Bears,,• Lucas Patrick,placed on IR with calf injury
2024-01-06,Broncos,,• Mike McGlinchey,placed on IR with rib injury
2024-01-06,Broncos,• Alex Palczewski,,activated from IR
2024-01-06,Cardinals,• Leki Fotu,,activated from IR
2024-01-06,Chargers,,• Justin Hollins,placed on IR with shoulder injury
2024-01-06,Dolphins,,• Bradley Chubb,placed on IR with torn ACL in knee
2024-01-06,Dolphins,• Jerome Baker,,activated from IR
2024-01-06,Giants,,• Jason Pinnock,placed on IR with toe injury
2024-01-06,Jaguars,,• Jamal Agnew,placed on IR with fractured lower leg
2024-01-06,Jaguars,• Christian Kirk (Davon),,activated from IR
2024-01-06,Jets,,• Jake Hanson,placed on IR with concussion
2024-01-06,Jets,,• Jeremy Ruckert,placed on IR with concussion
2024-01-06,Jets,,• Zach Wilson (Kapono),placed on IR with concussion
2024-01-06,Lions,• Alim McNeill,,activated from IR
2024-01-06,Lions,• Chauncey Gardner-Johnson / C.J. Gardner-Johnson,,activated from IR
2024-01-06,Packers,,• Johnathan Ford / Rudy Ford,placed on IR with hamstring injury
2024-01-06,Packers,• Emanuel Wilson,,activated from IR
2024-01-06,Packers,• Luke Musgrave,,activated from IR
2024-01-06,Patriots,,• Hunter Henry,placed on IR with knee injury
2024-01-06,Raiders,,• Michael Mayer,placed on IR with toe injury
2024-01-06,Saints,• Payton Turner,,activated from IR
2024-01-06,Titans,,• Colton Dowell,placed on IR with torn ACL in knee
2024-01-06,Vikings,,• Jalen Nailor,placed on IR with concussion
2024-01-07,Steelers,• Damontae Kazee,,reinstated from suspension
2024-01-07,Steelers,• Damontae Kazee,,activated from reserve/suspended list
2024-01-08,Bears,• Lucas Patrick,,activated from IR
2024-01-08,Bears,• Yannick Ngakoue,,activated from IR
2024-01-08,Bengals,• D.J. Ivey,,activated from IR
2024-01-08,Bengals,• D.J. Reader,,activated from IR
2024-01-08,Bengals,• Devin Cochran,,activated from IR
2024-01-08,Bengals,• Devonnsha Maxwell,,activated from IR
2024-01-08,Bengals,• Joe Burrow,,activated from IR
2024-01-08,Bengals,• Tycen Anderson,,activated from IR
2024-01-08,Broncos,• Caden Sterns,,activated from IR
2024-01-08,Broncos,• Delarrin Turner-Yell,,activated from IR
2024-01-08,Broncos,• Dwayne Washington,,activated from reserve/non-football injury list
2024-01-08,Broncos,• Eyioma Uwazurike,,activated from reserve/suspended list
2024-01-08,Broncos,• Greg Dulcich,,activated from IR
2024-01-08,Broncos,• Jalen Virgil,,activated from IR
2024-01-08,Broncos,• Jonas Griffith,,activated from IR
2024-01-08,Broncos,• K'Waun Williams,,activated from IR
2024-01-08,Broncos,• Mike McGlinchey,,activated from IR
2024-01-08,Broncos,• Tim Patrick,,activated from IR
2024-01-08,Cardinals,• Carlos Watkins,,activated from IR
2024-01-08,Cardinals,• D.J. Humphries,,activated from IR
2024-01-08,Cardinals,• Dante Stills,,activated from IR
2024-01-08,Cardinals,• Geoff Swaim,,activated from IR
2024-01-08,Cardinals,• Jon Gaines II,,activated from IR
2024-01-08,Cardinals,• Jonathan Ledbetter,,activated from IR
2024-01-08,Cardinals,• Josh Woods,,activated from IR
2024-01-08,Cardinals,• Kyzir White,,activated from IR
2024-01-08,Cardinals,• L.J. Collier,,activated from IR
2024-01-08,Cardinals,• Marlon Mack,,activated from IR
2024-01-08,Cardinals,• Marquise Brown,,activated from IR
2024-01-08,Cardinals,• Matt Hembrough,,activated from IR
2024-01-08,Cardinals,• Pat Elflein,,activated from IR
2024-01-08,Cardinals,• Rashad Fenton,,activated from IR
2024-01-08,Chargers,• Chris Rumph II,,activated from IR
2024-01-08,Chargers,• Corey Linsley,,activated from reserve/non-football injury list
2024-01-08,Chargers,• Joey Bosa,,activated from IR
2024-01-08,Chargers,• Justin Herbert,,activated from IR
2024-01-08,Chargers,• Justin Hollins,,activated from IR
2024-01-08,Chargers,• Mike Williams (K.),,activated from IR
2024-01-08,Chargers,• Raheem Layne,,activated from IR
2024-01-08,Chargers,• Tanner Muse,,activated from IR
2024-01-08,Chargers,• Will Clapp,,activated from IR
2024-01-08,Chargers,• Zack Bailey,,activated from IR
2024-01-08,Colts,• Anthony Richardson,,activated from IR
